wob algo-2 (1, 2, 2)	2017-11-09 13:22:43.980926 Under investigation
wr algo-1 (1, 1, 0)	2017-11-09 13:22:47.587089 Under investigation
rg algo-3 (3, 2, 1)	2017-11-09 13:22:52.002292
wo algo-1 (1, 1, 2)	2017-11-09 13:22:56.295485
wo algo-1 (2, 1, 0)	2017-11-09 13:23:07.987016
og algo-3 (2, 1, 2)	2017-11-09 13:23:12.062200
rb algo-3 (4, 1, 0)	2017-11-09 13:23:23.557182 
wo algo-1 (2, 1, 2)	2017-11-09 13:23:44.129656
ob algo-3 (3, 0, 1)	2017-11-09 13:23:49.234884
wb algo-1 (1, 0, 1)	2017-11-09 13:23:58.990326
wr algo-1 (4, 0, 1)	2017-11-09 13:24:07.543716
rg algo-3 (0, 2, 1)	2017-11-09 13:24:12.247928
